@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {near,far}

@data
8.052565,7.398351,1.476402,5.38138,far
1.093315,5.347627,8.68451,2.932787,far
4.647627,3.38138,2.04422,3.42672,near
2.647627,7.740077,8.340077,4.179228,far
1.732787,7.979555,11.43315,4.98145,far
2.788366,3.08138,4.532787,2.632787,near
5.957366,4.079228,1.92672,3.393315,near
3.857366,11.048162,12.548162,6.079555,far
7.798351,4.883659,1.94422,3.457366,far
1.676402,3.046283,3.646283,1.576402,near
3.457366,3.879228,2.947627,2.447627,near
2.447627,7.048162,5.679555,4.98138,far
11.383659,7.379555,4.84422,7.146283,far
3.64422,8.148162,11.13315,4.38138,far
3.94422,3.244348,1.22672,2.432787,near
5.752565,5.579555,1.476402,3.08138,far
1.376402,5.083659,6.244348,2.747627,near
1.732787,3.68138,4.452565,3.18145,near
8.198351,8.598351,5.28138,3.632787,far
1.376402,4.257366,12.64418,1.732787,far
8.657366,7.740077,8.340077,10.040077,far
4.479228,7.079555,9.84418,3.979228,far
6.448162,5.193315,3.84422,1.376402,near
10.148162,7.748162,3.08138,2.447627,far
5.857366,10.440077,10.93315,6.28138,far
5.347627,4.446283,1.876402,1.193315,near
4.14422,7.448162,12.267196,5.28138,far
6.383659,4.857366,1.732787,4.752565,far
2.846283,1.376402,0.244763,1.32672,near
5.347627,2.032787,1.22672,1.493315,near
3.979228,8.698351,8.64422,4.579228,far
2.974418,3.757366,6.079555,2.58145,near
11.83315,11.098351,6.757366,6.848162,far
0.974418,2.447627,4.352565,1.676402,near
2.132787,9.279555,9.648162,3.846283,far
3.28138,7.979555,9.28451,4.94422,far
3.879228,1.093315,1.22672,0.974418,near
0.173279,0.308138,1.544348,0.714816,near
2.947627,6.257366,8.379555,5.383659,far
2.732787,6.379228,9.94418,3.457366,far
10.54418,8.798351,7.198351,6.352565,far
3.757366,2.447627,3.247627,2.647627,near
6.379555,5.779555,2.447627,3.04422,far
0.774008,1.22672,3.657366,1.576402,near
9.740077,6.279228,1.732787,4.752565,far
3.746283,6.948162,8.68451,6.079555,far
1.832787,9.679555,10.048162,4.246283,far
1.193315,6.148162,8.198351,4.983659,far
1.844348,1.376402,6.148162,2.846283,near
1.22672,7.979555,8.340077,4.047627,far
4.552565,2.32672,1.493315,3.24422,near
2.18145,4.957366,7.079555,4.147627,far
6.44422,9.548162,6.583659,2.332787,far
6.779555,4.68145,7.352565,5.147627,near
1.676402,2.974008,3.744348,1.732787,near
5.54422,8.648162,5.683659,1.732787,far
1.832787,4.98145,7.283659,3.546283,near
9.58145,10.08451,6.898351,8.740077,far
2.78145,11.240077,9.940077,5.579555,far
5.979555,3.857366,1.22672,3.34422,near
2.647627,3.457366,4.179228,2.947627,near
3.58145,3.093315,4.744348,2.38145,near
11.83315,5.183659,2.38145,3.879228,far
10.183659,6.179555,3.64422,5.946283,far
5.883659,4.357366,1.932787,5.252565,far
2.747627,1.074418,2.746283,2.04422,near
0.774008,1.376402,2.547627,0.774008,near
8.879555,7.740077,6.979555,3.08138,far
0.968451,3.08138,3.879228,1.476402,near
0.487923,1.093315,2.747627,0.868451,near
2.032787,2.674008,4.747627,1.82672,near
9.640077,6.979555,2.746283,3.58145,far
1.174008,3.457366,6.744348,3.657366,near
2.88145,6.898351,6.348162,3.48138,far
1.376402,2.674418,3.844348,1.22672,near
4.652565,3.457366,2.332787,1.893315,near
1.093315,3.047627,4.94422,2.693315,near
1.844348,2.074008,4.147627,1.22672,near
3.146283,7.979228,10.748162,7.14422,far
2.14422,5.483659,8.498351,3.046283,far
2.14422,4.952565,8.140077,2.947627,far
11.28451,7.398351,1.544348,3.08138,far
8.240077,9.298351,2.58145,4.379228,far
2.38145,1.22672,2.04422,0.474628,near
12.867196,13.76402,4.057366,5.352565,far
2.232787,3.146283,7.940077,3.68138,near
2.18145,7.447627,10.58451,2.34422,far
4.58138,1.676402,1.089835,2.444348,near
3.84422,10.58451,12.54418,4.883659,far
5.547627,4.28138,2.94422,4.32672,near
11.33315,5.679555,1.644348,5.579555,far
1.844348,5.483659,8.440077,2.98145,far
6.548162,2.746283,1.94422,3.08138,far
2.746283,6.548162,6.848162,7.298351,far
2.946283,0.974418,1.22672,0.974008,near
